área bounding box,ocorrências,%
0,1611,0.2922%
4,1,0.0002%
8,1,0.0002%
19,8,0.0015%
20,1,0.0002%
22,1,0.0002%
23,2,0.0004%
24,7,0.0013%
25,2,0.0004%
28,3,0.0005%
30,9,0.0016%
32,3,0.0005%
33,3,0.0005%
34,1,0.0002%
35,1,0.0002%
36,31,0.0056%
39,8,0.0015%
40,21,0.0038%
42,6,0.0011%
44,6,0.0011%
45,3,0.0005%
46,1,0.0002%
48,13,0.0024%
49,1,0.0002%
50,3,0.0005%
52,8,0.0015%
54,17,0.0031%
55,16,0.0029%
56,7,0.0013%
60,22,0.004%
63,15,0.0027%
64,15,0.0027%
65,6,0.0011%
66,12,0.0022%
68,3,0.0005%
70,20,0.0036%
72,33,0.006%
75,4,0.0007%
76,6,0.0011%
77,6,0.0011%
78,12,0.0022%
80,25,0.0045%
81,11,0.002%
84,30,0.0054%
85,7,0.0013%
87,3,0.0005%
88,13,0.0024%
90,29,0.0053%
91,10,0.0018%
92,1,0.0002%
93,1,0.0002%
95,16,0.0029%
96,23,0.0042%
98,7,0.0013%
99,20,0.0036%
100,21,0.0038%
102,10,0.0018%
104,27,0.0049%
105,25,0.0045%
108,90,0.0163%
110,71,0.0129%
112,26,0.0047%
114,9,0.0016%
115,7,0.0013%
116,1,0.0002%
117,18,0.0033%
119,9,0.0016%
120,36,0.0065%
121,14,0.0025%
125,4,0.0007%
126,45,0.0082%
128,7,0.0013%
130,26,0.0047%
132,27,0.0049%
133,17,0.0031%
135,18,0.0033%
136,10,0.0018%
138,9,0.0016%
140,36,0.0065%
143,17,0.0031%
144,44,0.008%
145,14,0.0025%
147,22,0.004%
148,3,0.0005%
150,31,0.0056%
152,18,0.0033%
153,11,0.002%
154,47,0.0085%
155,6,0.0011%
156,19,0.0034%
159,1,0.0002%
160,40,0.0073%
161,32,0.0058%
162,22,0.004%
165,25,0.0045%
168,63,0.0114%
169,12,0.0022%
170,30,0.0054%
171,16,0.0029%
174,6,0.0011%
175,27,0.0049%
176,41,0.0074%
180,60,0.0109%
182,34,0.0062%
184,25,0.0045%
185,1,0.0002%
186,11,0.002%
187,20,0.0036%
189,34,0.0062%
190,16,0.0029%
192,53,0.0096%
195,27,0.0049%
196,24,0.0044%
198,40,0.0073%
200,52,0.0094%
203,17,0.0031%
204,36,0.0065%
205,4,0.0007%
207,29,0.0053%
208,41,0.0074%
209,15,0.0027%
210,74,0.0134%
215,1,0.0002%
216,72,0.0131%
217,7,0.0013%
220,55,0.01%
221,36,0.0065%
222,9,0.0016%
224,62,0.0112%
225,54,0.0098%
228,29,0.0053%
230,38,0.0069%
231,27,0.0049%
232,21,0.0038%
234,53,0.0096%
235,11,0.002%
236,1,0.0002%
238,50,0.0091%
240,100,0.0181%
242,12,0.0022%
243,23,0.0042%
245,21,0.0038%
246,7,0.0013%
247,15,0.0027%
248,27,0.0049%
250,57,0.0103%
252,73,0.0132%
253,11,0.002%
255,40,0.0073%
256,43,0.0078%
258,4,0.0007%
259,8,0.0015%
260,48,0.0087%
261,25,0.0045%
264,60,0.0109%
266,62,0.0112%
270,93,0.0169%
272,38,0.0069%
273,22,0.004%
275,25,0.0045%
276,21,0.0038%
279,20,0.0036%
280,67,0.0122%
282,5,0.0009%
285,16,0.0029%
286,43,0.0078%
287,9,0.0016%
288,100,0.0181%
289,17,0.0031%
290,26,0.0047%
294,18,0.0033%
296,28,0.0051%
297,70,0.0127%
299,14,0.0025%
300,80,0.0145%
301,8,0.0015%
302,1,0.0002%
304,37,0.0067%
305,1,0.0002%
306,37,0.0067%
308,52,0.0094%
310,41,0.0074%
312,60,0.0109%
315,38,0.0069%
318,1,0.0002%
319,18,0.0033%
320,68,0.0123%
322,31,0.0056%
323,27,0.0049%
324,65,0.0118%
325,22,0.004%
328,10,0.0018%
329,7,0.0013%
330,70,0.0127%
333,24,0.0044%
335,3,0.0005%
336,92,0.0167%
338,19,0.0034%
340,54,0.0098%
341,22,0.004%
342,31,0.0056%
343,5,0.0009%
344,5,0.0009%
345,13,0.0024%
348,34,0.0062%
350,102,0.0185%
351,57,0.0103%
352,87,0.0158%
354,6,0.0011%
355,2,0.0004%
357,22,0.004%
360,139,0.0252%
361,5,0.0009%
363,33,0.006%
364,101,0.0183%
366,4,0.0007%
368,32,0.0058%
369,15,0.0027%
370,19,0.0034%
371,10,0.0018%
372,25,0.0045%
374,59,0.0107%
375,28,0.0051%
376,2,0.0004%
377,47,0.0085%
378,81,0.0147%
380,24,0.0044%
384,103,0.0187%
385,36,0.0065%
387,11,0.002%
390,67,0.0122%
391,25,0.0045%
392,37,0.0067%
396,110,0.02%
399,15,0.0027%
400,56,0.0102%
402,5,0.0009%
403,23,0.0042%
405,26,0.0047%
406,45,0.0082%
407,19,0.0034%
408,60,0.0109%
410,67,0.0122%
413,7,0.0013%
414,39,0.0071%
416,50,0.0091%
418,35,0.0063%
420,128,0.0232%
423,8,0.0015%
424,5,0.0009%
425,30,0.0054%
426,7,0.0013%
427,4,0.0007%
429,48,0.0087%
430,11,0.002%
432,79,0.0143%
434,32,0.0058%
435,41,0.0074%
437,23,0.0042%
438,2,0.0004%
440,35,0.0063%
441,24,0.0044%
442,51,0.0093%
444,19,0.0034%
445,1,0.0002%
448,59,0.0107%
450,117,0.0212%
451,14,0.0025%
453,1,0.0002%
455,40,0.0073%
456,62,0.0112%
459,49,0.0089%
460,29,0.0053%
462,64,0.0116%
464,48,0.0087%
465,38,0.0069%
468,89,0.0161%
469,8,0.0015%
470,8,0.0015%
472,23,0.0042%
473,10,0.0018%
475,21,0.0038%
476,66,0.012%
477,9,0.0016%
480,97,0.0176%
481,29,0.0053%
483,22,0.004%
484,19,0.0034%
486,44,0.008%
488,10,0.0018%
490,62,0.0112%
492,15,0.0027%
493,30,0.0054%
494,41,0.0074%
495,54,0.0098%
496,35,0.0063%
497,8,0.0015%
498,1,0.0002%
500,39,0.0071%
504,119,0.0216%
506,16,0.0029%
507,19,0.0034%
510,74,0.0134%
511,2,0.0004%
512,37,0.0067%
513,38,0.0069%
516,20,0.0036%
517,7,0.0013%
518,33,0.006%
520,59,0.0107%
522,29,0.0053%
525,46,0.0083%
527,49,0.0089%
528,62,0.0112%
529,5,0.0009%
530,14,0.0025%
531,15,0.0027%
532,62,0.0112%
533,20,0.0036%
534,1,0.0002%
536,2,0.0004%
539,19,0.0034%
540,126,0.0229%
544,71,0.0129%
546,61,0.0111%
549,19,0.0034%
550,36,0.0065%
551,42,0.0076%
552,23,0.0042%
555,41,0.0074%
558,52,0.0094%
559,16,0.0029%
560,104,0.0189%
561,39,0.0071%
564,13,0.0024%
567,46,0.0083%
568,14,0.0025%
570,84,0.0152%
572,59,0.0107%
574,17,0.0031%
575,8,0.0015%
576,94,0.0171%
578,22,0.004%
580,51,0.0093%
583,9,0.0016%
584,5,0.0009%
585,40,0.0073%
588,73,0.0132%
589,35,0.0063%
590,12,0.0022%
592,24,0.0044%
594,83,0.0151%
595,42,0.0076%
598,18,0.0033%
600,144,0.0261%
602,20,0.0036%
603,2,0.0004%
605,7,0.0013%
608,93,0.0169%
609,32,0.0058%
610,28,0.0051%
611,13,0.0024%
612,84,0.0152%
615,18,0.0033%
616,89,0.0161%
620,42,0.0076%
621,17,0.0031%
623,1,0.0002%
624,63,0.0114%
625,1,0.0002%
627,73,0.0132%
629,38,0.0069%
630,127,0.023%
632,3,0.0005%
636,8,0.0015%
637,7,0.0013%
638,38,0.0069%
639,14,0.0025%
640,67,0.0122%
642,1,0.0002%
644,28,0.0051%
645,21,0.0038%
646,72,0.0131%
648,66,0.012%
649,14,0.0025%
650,31,0.0056%
651,17,0.0031%
656,22,0.004%
657,10,0.0018%
658,8,0.0015%
660,169,0.0307%
663,39,0.0071%
664,1,0.0002%
665,53,0.0096%
666,28,0.0051%
667,25,0.0045%
670,1,0.0002%
671,21,0.0038%
672,99,0.018%
675,52,0.0094%
676,22,0.004%
679,1,0.0002%
680,81,0.0147%
682,33,0.006%
684,71,0.0129%
686,16,0.0029%
688,43,0.0078%
689,11,0.002%
690,51,0.0093%
693,59,0.0107%
696,33,0.006%
697,22,0.004%
700,60,0.0109%
702,51,0.0093%
703,37,0.0067%
704,82,0.0149%
705,7,0.0013%
708,24,0.0044%
710,9,0.0016%
711,19,0.0034%
713,7,0.0013%
714,93,0.0169%
715,23,0.0042%
720,163,0.0296%
722,25,0.0045%
725,14,0.0025%
726,61,0.0111%
728,29,0.0053%
729,8,0.0015%
730,10,0.0018%
731,31,0.0056%
732,35,0.0063%
735,60,0.0109%
736,46,0.0083%
737,9,0.0016%
738,28,0.0051%
740,48,0.0087%
741,35,0.0063%
742,17,0.0031%
744,32,0.0058%
748,99,0.018%
749,2,0.0004%
750,39,0.0071%
752,19,0.0034%
754,17,0.0031%
756,119,0.0216%
