área bounding box,ocorrências,% do total,prop mín,prop max,prop média,,Total bounding boxes
0,1611,"0,2922%",None,None,None,,551266
4,1,"0,0002%",4,4,4,,
8,1,"0,0002%","0,5","0,5","0,5",,
19,8,"0,0015%","0,0526315789","0,0526315789","0,0526315789",,
20,1,"0,0002%","1,25","1,25","1,25",,
22,1,"0,0002%","0,1818181818","0,1818181818","0,1818181818",,
23,2,"0,0004%","0,0434782609","0,0434782609","0,0434782609",,
24,7,"0,0013%","0,375",24,"3,7916666667",,
25,2,"0,0004%",1,1,1,,
28,3,"0,0005%","0,5714285714","0,5714285714","0,5714285714",,
30,9,"0,0016%","0,0333333333","1,2","0,5703703704",,
32,3,"0,0005%","0,125","0,5","0,25",,
33,3,"0,0005%","0,2727272727","0,2727272727","0,2727272727",,
34,1,"0,0002%","0,1176470588","0,1176470588","0,1176470588",,
35,1,"0,0002%","0,7142857143","0,7142857143","0,7142857143",,
36,31,"0,0056%","0,1111111111",1,"0,4077060932",,
39,8,"0,0015%","0,2307692308","0,2307692308","0,2307692308",,
40,21,"0,0038%","0,4","0,625","0,4428571429",,
42,6,"0,0011%","0,8571428571","1,1666666667","1,0119047619",,
44,6,"0,0011%","0,0909090909","0,3636363636","0,2727272727",,
45,3,"0,0005%","0,2","0,5555555556","0,437037037",,
46,1,"0,0002%","0,0869565217","0,0869565217","0,0869565217",,
48,13,"0,0024%","0,3333333333","0,75","0,5897435897",,
49,1,"0,0002%",1,1,1,,
50,3,"0,0005%","0,5","0,5","0,5",,
52,8,"0,0015%","0,3076923077","0,3076923077","0,3076923077",,
54,17,"0,0031%","0,1666666667","0,6666666667","0,2549019608",,
55,16,"0,0029%","0,4545454545","0,4545454545","0,4545454545",,
56,7,"0,0013%","0,2857142857","1,1428571429","0,9821428571",,
60,22,"0,0040%","0,2666666667","1,6666666667","0,4893939394",,
63,15,"0,0027%","0,1428571429","0,7777777778","0,5661375661",,
64,15,"0,0027%","0,0625",1,"0,6875",,
65,6,"0,0011%","0,3846153846","0,3846153846","0,3846153846",,
66,12,"0,0022%","0,0606060606","1,8333333333","0,6111111111",,
68,3,"0,0005%","0,2352941176","0,2352941176","0,2352941176",,
70,20,"0,0036%","0,3571428571","1,4285714286","0,5992857143",,
72,33,"0,0060%","0,125","1,125","0,7032828283",,
75,4,"0,0007%","0,12","0,3333333333","0,28",,
76,6,"0,0011%","0,2105263158","0,2105263158","0,2105263158",,
77,6,"0,0011%","0,6363636364","1,5714285714","0,7922077922",,
78,12,"0,0022%","0,0512820513","0,4615384615","0,3643162393",,
80,25,"0,0045%","0,2","1,25","0,5735",,
81,11,"0,0020%",1,1,1,,
84,30,"0,0054%","0,1071428571","9,3333333333","0,6452380952",,
85,7,"0,0013%","0,2941176471","0,2941176471","0,2941176471",,
87,3,"0,0005%","0,1034482759","0,1034482759","0,1034482759",,
88,13,"0,0024%","0,1818181818","1,375","0,6931818182",,
90,29,"0,0053%","0,1","1,1111111111","0,6398467433",,
91,10,"0,0018%","0,5384615385","0,5384615385","0,5384615385",,
92,1,"0,0002%","0,1739130435","0,1739130435","0,1739130435",,
93,1,"0,0002%","0,0967741935","0,0967741935","0,0967741935",,
95,16,"0,0029%","0,2631578947","3,8","0,4842105263",,
96,23,"0,0042%","0,0416666667","0,6666666667","0,4356884058",,
98,7,"0,0013%","0,5","0,5","0,5",,
99,20,"0,0036%","0,0909090909","1,2222222222","0,9636363636",,
100,21,"0,0038%","0,16",1,"0,5628571429",,
102,10,"0,0018%","0,3529411765","0,3529411765","0,3529411765",,
104,27,"0,0049%","0,1538461538","0,6153846154","0,4444444444",,
105,25,"0,0045%","0,0857142857","0,4666666667","0,3691428571",,
108,90,"0,0163%","0,0833333333","1,3333333333","0,4053497942",,
110,71,"0,0129%","0,2272727273","1,1","0,3463508323",,
112,26,"0,0047%","0,1428571429","0,5714285714","0,4385302198",,
114,9,"0,0016%","0,3157894737","0,3157894737","0,3157894737",,
115,7,"0,0013%","0,2173913043","0,2173913043","0,2173913043",,
116,1,"0,0002%","0,1379310345","0,1379310345","0,1379310345",,
117,18,"0,0033%","0,0769230769","1,4444444444","0,6999050332",,
119,9,"0,0016%","0,4117647059","0,4117647059","0,4117647059",,
120,36,"0,0065%","0,2083333333","1,2","0,55",,
121,14,"0,0025%",1,1,1,,
125,4,"0,0007%","0,2","0,2","0,2",,
126,45,"0,0082%","0,2857142857","1,5555555556","0,4026455026",,
128,7,"0,0013%","0,5","0,5","0,5",,
130,26,"0,0047%","0,1923076923","1,3","0,651183432",,
132,27,"0,0049%","0,0681818182","1,0909090909","0,5272166105",,
133,17,"0,0031%","0,3684210526","0,3684210526","0,3684210526",,
135,18,"0,0033%","0,1851851852","0,6","0,4156378601",,
136,10,"0,0018%","0,4705882353","0,4705882353","0,4705882353",,
138,9,"0,0016%","0,2608695652","0,2608695652","0,2608695652",,
140,36,"0,0065%","0,1142857143","1,4","0,5880952381",,
143,17,"0,0031%","0,8461538462","1,1818181818","0,8658988071",,
144,44,"0,0080%","0,1111111111",1,"0,4616477273",,
145,14,"0,0025%","0,1724137931","0,1724137931","0,1724137931",,
147,22,"0,0040%","0,3333333333","0,3333333333","0,3333333333",,
148,3,"0,0005%","0,1081081081","0,1081081081","0,1081081081",,
150,31,"0,0056%","0,1666666667","1,5","0,5337634409",,
152,18,"0,0033%","0,4210526316","0,4210526316","0,4210526316",,
153,11,"0,0020%","0,5294117647","0,5294117647","0,5294117647",,
154,47,"0,0085%","0,3181818182","1,2727272727","0,5179607626",,
155,6,"0,0011%","0,1612903226","0,1612903226","0,1612903226",,
156,19,"0,0034%","0,1025641026","1,0833333333","0,8407557355",,
159,1,"0,0002%","0,0566037736","0,0566037736","0,0566037736",,
160,40,"0,0073%","0,1","1,6","0,499375",,
161,32,"0,0058%","0,3043478261","0,3043478261","0,3043478261",,
162,22,"0,0040%","0,2222222222","0,5","0,3106060606",,
165,25,"0,0045%","0,1515151515","1,3636363636","0,6441212121",,
168,63,"0,0114%","0,2142857143","1,1666666667","0,4950869237",,
169,12,"0,0022%",1,1,1,,
170,30,"0,0054%","0,1470588235","1,7","0,6105882353",,
171,16,"0,0029%","0,4736842105","0,4736842105","0,4736842105",,
174,6,"0,0011%","0,2068965517","0,2068965517","0,2068965517",,
175,27,"0,0049%","0,1428571429","0,28","0,2596825397",,
176,41,"0,0074%","0,3636363636","1,4545454545","0,6072616408",,
180,60,"0,0109%","0,1388888889","1,25","0,5060185185",,
182,34,"0,0062%","0,2692307692","1,0769230769","0,7113768584",,
184,25,"0,0045%","0,347826087","0,347826087","0,347826087",,
